city,state,station,latitude,longitude,pollution_date,year,month,quarter,season,pm25,pm10,no,no2,nox,nh3,co,so2,o3,benzene,toluene,xylene,aqi,aqi_bucket,source
Muzaffarpur,,"MIT-Daudpur Kothi, Muzaffarpur - BSPCB",26.1403345,85.3650192,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,34,31,,7,,0,100,17,58,,,,,,Realtime
Amaravati,,"Secretariat, Amaravati - APPCB",16.5150833,80.5181667,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,30,65,,20,,3,10,18,31,,,,,,Realtime
Bhavnagar,,"Vidhyanagar, Bhavnagar - Nexteng Enviro",21.755417,72.139056,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,39,67,,41,,4,80,7,15,,,,,,Realtime
Gandhinagar,,"Sector-10, Gandhinagar - GPCB",23.221714,72.654328,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,44,76,,9,,1,14,5,13,,,,,,Realtime
Gandhinagar,,"GIFT City, Gandhinagar - IITM",23.163798,72.677768,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,52,93,,,,,39,3,3,,,,,,Realtime
Mehsana,,"Sadanand Nagar, Mehsana - Nexteng Enviro",23.59315,72.372792,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,51,70,,9,,1,70,13,9,,,,,,Realtime
Rajkot,,"Mavdi, Rajkot - Nexteng Enviro",22.248853,70.776774,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,52,60,,57,,1,89,10,7,,,,,,Realtime
Surat,,"Katargam, Surat - Nexteng Enviro",21.217779,72.834787,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,27,87,,17,,1,41,7,4,,,,,,Realtime
Vadodara,,"Bapunagar, Vadodara - Nexteng Enviro",22.320153,73.216285,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,59,82,,12,,2,96,6,4,,,,,,Realtime
Vatva,,"Phase-4 GIDC, Vatva - GPCB",22.969611,72.6435,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,57,119,,46,,2,34,10,27,,,,,,Realtime
Ambala,,"Patti Mehar, Ambala - HSPCB",30.379589,76.778328,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,34,82,,30,,7,11,22,15,,,,,,Realtime
Delhi,,"Pusa, Delhi - IITM",28.63611,77.173332,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,16,21,,41,,,32,,38,,,,,,Realtime
Delhi,,"Cantonment Area, Delhi - DPCC",28.594169,77.1251,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,10,25,,17,,2,52,7,35,,,,,,Realtime
Delhi,,"Major Dhyan Chand National Stadium, Delhi - DPCC",28.611281,77.237738,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,14,31,,25,,10,38,7,7,,,,,,Realtime
Delhi,,"Sonia Vihar, Delhi - DPCC",28.710508,77.249485,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,,13,,9,,17,43,9,10,,,,,,Realtime
Delhi,,"Bawana, Delhi - DPCC",28.7762,77.051074,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,40,85,,7,,14,46,4,4,,,,,,Realtime
Delhi,,"Nehru Nagar, Delhi - DPCC",28.56789,77.250515,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,,32,,20,,10,8,20,17,,,,,,Realtime
Delhi,,"Patparganj, Delhi - DPCC",28.623763,77.287209,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,16,19,,13,,9,43,6,14,,,,,,Realtime
Delhi,,"IHBAS, Dilshad Garden, Delhi - CPCB",28.6811736,77.3025234,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,55,57,,24,,4,60,18,42,,,,,,Realtime
Delhi,,"Sri Aurobindo Marg, Delhi - DPCC",28.531346,77.190156,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,21,,,22,,11,34,7,23,,,,,,Realtime
Delhi,,"Alipur, Delhi - DPCC",28.815329,77.15301,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,12,23,,16,,22,25,4,7,,,,,,Realtime
Delhi,,"IMD Lodhi Road, Delhi - IITM",28.5918245,77.2273074,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,20,24,,13,,,33,,34,,,,,,Realtime
Delhi,,"Burari Crossing, Delhi - IITM",28.7256504,77.2011573,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,,,,18,,,55,,24,,,,,,Realtime
Delhi,,"Narela, Delhi - DPCC",28.822836,77.101981,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,,,,,,,39,,7,,,,,,Realtime
Delhi,,"JNU, Delhi - DPCC",28.540721,77.168544,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,22,28,,18,,4,24,1,31,,,,,,Realtime
Delhi,,"CRRI Mathura Road, Delhi - IITM",28.5512005,77.2735737,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,18,,,34,,,69,,13,,,,,,Realtime
Delhi,,"Aya Nagar, Delhi - IITM",28.4706914,77.1099364,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,21,,,25,,,26,,32,,,,,,Realtime
Delhi,,"NSIT Dwarka, Delhi - CPCB",28.60909,77.0325413,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,61,44,,41,,7,58,15,26,,,,,,Realtime
Delhi,,"NSUT Jaffarpur, Delhi - DPCC",28.594004,76.909423,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,35,32,,12,,2,42,7,49,,,,,,Realtime
Delhi,,"Talkatora Garden, Delhi - DPCC",28.62181,77.1944633,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,29,27,,16,,2,40,0,18,,,,,,Realtime
