city,station,pollutant_id,pollutant_avg,latitude,longitude,last_update
Delhi,"Ashok Vihar, Delhi - DPCC",OZONE,6,28.695381,77.181665,09-07-2026 21:00:00
Delhi,"Dwarka-Sector 8, Delhi - DPCC",PM10,,28.5710274,77.0719006,09-07-2026 21:00:00
Delhi,"Dwarka-Sector 8, Delhi - DPCC",NH3,10,28.5710274,77.0719006,09-07-2026 21:00:00
Delhi,"Dwarka-Sector 8, Delhi - DPCC",SO2,16,28.5710274,77.0719006,09-07-2026 21:00:00
Delhi,"IIT Delhi, Delhi - IITM",PM2.5,18,28.54246,77.191651,09-07-2026 21:00:00
Delhi,"IIT Delhi, Delhi - IITM",NH3,,28.54246,77.191651,09-07-2026 21:00:00
Delhi,"ITO, Delhi - CPCB",PM2.5,25,28.628624,77.24106,09-07-2026 21:00:00
Delhi,"ITO, Delhi - CPCB",PM10,22,28.628624,77.24106,09-07-2026 21:00:00
Delhi,"R K Puram, Delhi - DPCC",PM10,28,28.563262,77.186937,09-07-2026 21:00:00
Delhi,"North Campus, DU, Delhi - IITM",NH3,,28.6573814,77.1585447,09-07-2026 21:00:00
Gurugram,"NISE Gwal Pahari, Gurugram - IITM",NO2,16,28.422681,77.148944,09-07-2026 21:00:00
Gurugram,"Vikas Sadan, Gurugram - HSPCB",NH3,,28.4501238,77.0263051,09-07-2026 21:00:00
Gurugram,"Vikas Sadan, Gurugram - HSPCB",CO,33,28.4501238,77.0263051,09-07-2026 21:00:00
Gurugram,"Vikas Sadan, Gurugram - HSPCB",OZONE,3,28.4501238,77.0263051,09-07-2026 21:00:00
Gurugram,"Teri Gram, Gurugram - HSPCB",SO2,12,28.4275,77.1465,09-07-2026 21:00:00
Gurugram,"Teri Gram, Gurugram - HSPCB",CO,19,28.4275,77.1465,09-07-2026 21:00:00
Hisar,"Urban Estate-II, Hisar - HSPCB",NO2,,29.14056,75.744941,09-07-2026 21:00:00
Hisar,"Urban Estate-II, Hisar - HSPCB",CO,54,29.14056,75.744941,09-07-2026 21:00:00
Jind,"Police Lines, Jind - HSPCB",PM2.5,41,29.307814,76.337619,09-07-2026 21:00:00
Delhi,"Rohini, Delhi - DPCC",PM2.5,20,28.732528,77.11992,09-07-2026 21:00:00
Delhi,"Rohini, Delhi - DPCC",PM10,28,28.732528,77.11992,09-07-2026 21:00:00
Delhi,"Rohini, Delhi - DPCC",OZONE,4,28.732528,77.11992,09-07-2026 21:00:00
Delhi,"Vivek Vihar, Delhi - DPCC",PM10,25,28.672342,77.31526,09-07-2026 21:00:00
Delhi,"Jahangirpuri, Delhi - DPCC",PM10,104,28.73282,77.170633,09-07-2026 21:00:00
Delhi,"Jahangirpuri, Delhi - DPCC",NO2,18,28.73282,77.170633,09-07-2026 21:00:00
Delhi,"Mundka, Delhi - DPCC",SO2,8,28.684678,77.076574,09-07-2026 21:00:00
Delhi,"Mundka, Delhi - DPCC",OZONE,5,28.684678,77.076574,09-07-2026 21:00:00
Delhi,"Wazirpur, Delhi - DPCC",SO2,9,28.699793,77.165453,09-07-2026 21:00:00
Delhi,"Wazirpur, Delhi - DPCC",OZONE,18,28.699793,77.165453,09-07-2026 21:00:00
Kaithal,"Rishi Nagar, Kaithal - HSPCB",PM2.5,53,29.8006,76.4155,09-07-2026 21:00:00
Karnal,"Sector-12, Karnal - HSPCB",PM2.5,51,29.6953,77.0027,09-07-2026 21:00:00
Karnal,"Sector-12, Karnal - HSPCB",NO2,14,29.6953,77.0027,09-07-2026 21:00:00
Karnal,"Sector-12, Karnal - HSPCB",CO,50,29.6953,77.0027,09-07-2026 21:00:00
Kurukshetra,"Sector-7, Kurukshetra - HSPCB",NH3,15,29.966942,76.875879,09-07-2026 21:00:00
